name	category	isActive	businessUnit	employer_id	code
10 SOLUTIONS MGT (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQkUAM	45000
10K INFO DATE SOLUTIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQlUAM	45001
12K2 NETWORKS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQmUAM	45002
1FB SUPPORT SERVICES PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQnUAM	45003
21 MICRONS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQoUAM	45004
21 MICRONS NANO MINERALS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQpUAM	45005
22ND CENTRURY INFORMATICS (I) P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQqUAM	45006
22ND CENTURY HEALTH MGT SOL P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQrUAM	45007
22ND CENTURY SHARES & SECURITIES L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQsUAM	45008
23 FEET COMMUNICATIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQtUAM	45009
ZIETA TECH MNC CAT C	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQuUAM	45010
STOKE NETWORKS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQvUAM	45011
PHARM OLAM INTL (I) P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQwUAM	45012
SYNOPSYS (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQxUAM	45013
XACTLY TECH (I) P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQyUAM	45014
24X7 FACILITY SERVICE CONNECT P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YQzUAM	45015
24/7, CUSTOMER PRIVATE LIMITED	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR0UAM	45016
25 7 LEAD SOLUTIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR1UAM	45017
2COMS CONSULTING  PVT LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR2UAM	45018
2OCUBE LOGISTICS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR3UAM	45019
2WIRE DEVELOPMENT CENTRE (I) P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR4UAM	45020
3A FINANCIAL SERVICES LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR5UAM	45021
3A WORLD INFRACON PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR6UAM	45022
3AG NETWORK SOLUTIONS P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR7UAM	45023
3COM CORPORATION	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR8UAM	45024
3D CONCEPT ANALYSIS & DEVP(I)PL	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YR9UAM	45025
3D CONCEPTS TOOLING	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005YRAUA2	45026
