doc_type	created_at	attempts	status	error
Others	2018-12-24	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
Purchased Good	2018-12-25	23	0	{"ProcessedId":"1017673","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
DELIVERY PROOF	2018-12-23	1	1	NULL
PURCHASED GOODS	2018-12-23	1	1	NULL
DELIVERY PROOF	2018-12-23	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
CKYC PHOTO	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-24	1	1	NULL
INVOICE	2018-12-24	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
INVOICE	2018-12-23	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
INVOICE	2018-12-24	1	1	NULL
DELIVERY PROOF	2018-12-24	1	1	NULL
CKYC PHOTO	2018-12-25	1	1	NULL
CKYC PHOTO	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
INVOICE	2018-12-23	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
Invoice Photo	2018-12-24	40	0	{"ProcessedId":"1017682","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
INVOICE	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
Purchased Good	2018-12-24	48	0	{"ProcessedId":"1017683","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
DELIVERY PROOF	2018-12-23	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
DELIVERY PROOF	2018-12-25	1	1	NULL
INVOICE	2018-12-24	1	1	NULL
DELIVERY PROOF	2018-12-23	1	1	NULL
Purchased Good	2018-12-25	23	0	{"ProcessedId":"1017685","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
PURCHASED GOODS	2018-12-24	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
PURCHASED GOODS	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
CKYC PHOTO	2018-12-25	1	1	NULL
Invoice Photo	2018-12-24	40	0	{"ProcessedId":"1017686","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
