id	user_id	check_in	check_out	store_id	checkin_type	is_first_checkin	created_at	updated_at	so_id	checkout_type	store_type	store_name	store_address	map_in_lat	map_in_long	map_out_lat	map_out_long	check_in_date	check_in_status	check_in_address	check_out_address
1	182	2018-07-04 00:57:09	2018-07-04 08:58:01	1	1	NULL	NULL	NULL	1	6	2	Vijay Sales	Cbd belapur	18.984913	18.984913	0	0	2018-07-04	1	36, Service Rd, MCCH Society, Panvel, Navi Mumbai, Maharashtra 410206, India	NA
2	840	2018-07-04 08:49:37	2018-07-04 08:49:53	2	1	NULL	NULL	NULL	1	1	2	MEGHA ELECTRICULS	Amarganga soc jivraj park	23.045029	23.045029	23.045029	23.045029	2018-07-04	1	C-37, Dudheshwar Rd, Panchal Nagar, Shahibag, Ahmedabad, Gujarat 380004, India	C-37, Dudheshwar Rd, Panchal Nagar, Shahibag, Ahmedabad, Gujarat 380004, India
3	1422	2018-07-04 09:42:26	2018-07-04 09:45:24	5	1	NULL	NULL	NULL	1	1	1	Capital First Bengaluru	Capital First Ltd. C-1, R.P. Pride 1st & 2nd Floor, 20th Main Road, KHB 5th Block Near Ganapati Temple, Koramangala, Bengaluru, Karnataka, India 560095	12.936445	12.936445	12.936445	12.936445	2018-07-04	1	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India
4	1433	2018-07-04 09:43:48	2018-07-04 09:46:23	5	1	NULL	NULL	NULL	1	1	1	Capital First Bengaluru	Capital First Ltd. C-1, R.P. Pride 1st & 2nd Floor, 20th Main Road, KHB 5th Block Near Ganapati Temple, Koramangala, Bengaluru, Karnataka, India 560095	12.936445	12.936445	12.936441	12.936441	2018-07-04	1	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India
5	866	2018-07-04 09:44:00	2018-07-04 09:46:19	43062	1	NULL	NULL	NULL	1	1	1	KUMAR SALES CORPORATION	KUMARS KUMAR HOUSE DURGA MILL COMPOUND HIMATNAGAR 383001	23.593927	23.593927	23.593927	23.593927	2018-07-04	1	Ashraf Nagar, Himmatnagar, Gujarat 383001, India, Ashraf Nagar	Ashraf Nagar, Himmatnagar, Gujarat 383001, India, Ashraf Nagar
6	1418	2018-07-04 09:45:56	2018-07-04 17:46:02	5	1	NULL	NULL	NULL	1	6	1	Capital First Bengaluru	Capital First Ltd. C-1, R.P. Pride 1st & 2nd Floor, 20th Main Road, KHB 5th Block Near Ganapati Temple, Koramangala, Bengaluru, Karnataka, India 560095	12.936446	12.936446	0	0	2018-07-04	1	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India	NA
7	1422	2018-07-04 09:46:02	2018-07-04 17:46:02	3	1	NULL	NULL	NULL	1	6	2	Pai International Rtnagar	Rtnagar	12.936444	12.936444	0	0	2018-07-04	1	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India	NA
8	866	2018-07-04 09:46:28	2018-07-04 10:04:24	43062	1	NULL	NULL	NULL	1	2	1	KUMAR SALES CORPORATION	KUMARS KUMAR HOUSE DURGA MILL COMPOUND HIMATNAGAR 383001	23.59391	23.59391	23.593927	23.593927	2018-07-04	1	Ashraf Nagar, Himmatnagar, Gujarat 383001, India, Ashraf Nagar	Ashraf Nagar, Himmatnagar, Gujarat 383001, India, Ashraf Nagar
9	1433	2018-07-04 09:47:29	2018-07-04 17:48:01	4	1	NULL	NULL	NULL	1	6	2	Pai International Girinagar	Girinagar	12.936443	12.936443	0	0	2018-07-04	1	241, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560047, India	NA
10	866	2018-07-04 10:05:24	2018-07-04 10:48:11	43062	1	NULL	NULL	NULL	1	1	1	KUMAR SALES CORPORATION	KUMARS KUMAR HOUSE DURGA MILL COMPOUND HIMATNAGAR 383001	23.593927	23.593927	23.593927	23.593927	2018-07-04	1	Ashraf Nagar, Himmatnagar, Gujarat 383001, India, Ashraf Nagar	Ashraf Nagar, Himmatnagar, Gujarat 383001, India, Ashraf Nagar
11	864	2018-07-04 10:14:41	2018-07-04 16:58:56	11513	1	NULL	NULL	NULL	1	1	1	SAURASTRA T.V	11, Rajlaxmi Comlex, Opp, Samjuba hospital, Bapunagar, Ahmedabad-380024	23.038532	23.038532	23.03852	23.03852	2018-07-04	1	A-1, India Colony Rd, Jagat Nagar Part-1, Bapunagar, Ahmedabad, Gujarat 380024, India	Rajlaxmi Complex, Opp. Dinesh Chambers, Lal Bahadur Shastri Rd, India Colony, Ahmedabad, Gujarat 380024, India
12	550	2018-07-04 10:15:23	2018-07-04 10:15:46	30392	1	NULL	NULL	NULL	1	1	1	KRISHNA COLLECTION	L-7 SWASTIK PLAZA MAHADEV NAGAR SOC STADIUM ROAD NAVRANPURA AHMEDABAD-380014	23.048115	23.048115	23.048115	23.048115	2018-07-04	1	2-A, Ankur Rd, Sardar Patel Colony, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380014, India	2-A, Ankur Rd, Sardar Patel Colony, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380014, India
13	560	2018-07-04 10:15:49	2018-07-04 11:11:52	1	1	NULL	NULL	NULL	1	1	1	Capital First Ahmedabad	Capital First Ltd, 2nd Floor, Shanti Annexe Shri Ketan, Co-Operative Housing Society Ltd, Plot No. 27, T. P Scheme No. 19 , Opposite B D Patel House, Naranpura, Ahmedabad , Gujarat - 380013	23.048145	23.048145	22.997705	22.997705	2018-07-04	1	2, Ankur Rd, Sardar Patel Colony, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013, India	1, VP Metha Marg, Balvatika, Maninagar, Ahmedabad, Gujarat 380008, India
14	569	2018-07-04 10:16:18	2018-07-04 12:10:50	1	1	NULL	NULL	NULL	1	4	1	Capital First Ahmedabad	Capital First Ltd, 2nd Floor, Shanti Annexe Shri Ketan, Co-Operative Housing Society Ltd, Plot No. 27, T. P Scheme No. 19 , Opposite B D Patel House, Naranpura, Ahmedabad , Gujarat - 380013	23.048138	23.048138	23.038887	23.038887	2018-07-04	1	3, Ankur Rd, Sardar Patel Colony, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380014, India	43, Nikol Gam Rd, Suradhara Society, Khodiar Nagar, Ahmedabad, Gujarat 382350, India
