id	business_unit	sm_head_id	tm_head_id	tl_head_id	sh_head_id	rh_head_id	zh_head_id	nh_head_id
1	1	181	NULL	NULL	180	175	NULL	78
2	1	7	10	NULL	NULL	116	207	114
3	1	NULL	5	NULL	4	3	NULL	NULL
4	1	11	5	NULL	20	3	NULL	78
5	1	3562	NULL	NULL	1161	3296	157	78
6	1	3563	NULL	NULL	163	3296	157	78
7	1	NULL	3562	NULL	1161	3296	157	78
8	1	6	5	NULL	4	3	NULL	NULL
9	1	6	5	NULL	4	3	NULL	NULL
10	1	6	5	NULL	4	3	NULL	NULL
11	1	6	5	NULL	4	3	NULL	NULL
12	1	6	5	NULL	4	3	NULL	NULL
13	1	1186	NULL	NULL	NULL	116	207	114
14	1	6	5	NULL	4	3	NULL	NULL
15	1	6	5	NULL	4	3	NULL	NULL
16	1	NULL	5	NULL	4	3	NULL	NULL
17	1	NULL	5	NULL	4	3	NULL	NULL
18	1	NULL	5	NULL	4	3	NULL	NULL
19	1	NULL	5	NULL	4	3	NULL	NULL
20	1	7	NULL	NULL	NULL	116	NULL	114
21	1	7	NULL	NULL	NULL	116	NULL	114
22	1	7	10	NULL	NULL	116	207	114
23	1	7	5	NULL	4	3	NULL	NULL
24	1	7	10	NULL	4	NULL	NULL	114
25	1	7	10	NULL	NULL	NULL	207	114
26	1	7	NULL	NULL	NULL	116	NULL	114
27	1	7	NULL	NULL	NULL	116	NULL	114
28	1	7	10	NULL	4	NULL	NULL	114
29	1	7	NULL	NULL	NULL	116	NULL	114
30	1	7	NULL	NULL	NULL	116	NULL	114
31	1	10	NULL	NULL	NULL	116	207	114
32	1	NULL	5	NULL	4	3	NULL	NULL
33	1	7	10	NULL	NULL	NULL	207	114
34	1	7	NULL	NULL	NULL	116	NULL	114
35	1	1186	NULL	NULL	NULL	116	NULL	114
36	1	1186	NULL	NULL	NULL	116	NULL	114
37	1	7	NULL	NULL	NULL	116	NULL	114
38	1	7	10	NULL	4	NULL	NULL	114
39	1	7	NULL	NULL	NULL	116	NULL	114
40	1	7	10	NULL	NULL	NULL	207	114
41	1	7	NULL	NULL	NULL	116	NULL	114
42	1	7	5	NULL	4	3	NULL	NULL
43	1	7	NULL	NULL	NULL	116	NULL	114
44	1	10	NULL	NULL	NULL	116	207	114
45	1	NULL	5	NULL	4	3	NULL	NULL
46	1	1186	NULL	NULL	NULL	116	NULL	114
47	1	7	10	NULL	NULL	116	207	114
48	1	7	5	NULL	4	3	NULL	NULL
49	1	7	5	NULL	4	3	NULL	NULL
50	1	1187	NULL	NULL	NULL	116	NULL	114
51	1	8	5	NULL	4	3	NULL	NULL
52	1	1186	NULL	NULL	NULL	116	207	114
53	1	8	5	NULL	4	3	NULL	NULL
54	1	1187	1186	NULL	NULL	NULL	207	114
55	1	NULL	5	NULL	4	3	NULL	NULL
56	1	8	5	NULL	4	3	NULL	NULL
57	1	8	5	NULL	4	3	NULL	NULL
58	1	8	5	NULL	4	3	NULL	NULL
59	1	8	5	NULL	4	3	NULL	NULL
60	1	1187	1186	NULL	NULL	116	207	114
61	1	8	5	NULL	4	3	NULL	NULL
62	1	8	5	NULL	4	3	NULL	NULL
63	1	2490	NULL	NULL	163	3296	157	78
64	1	2490	NULL	NULL	163	3296	157	78
65	1	9	5	NULL	4	3	NULL	NULL
66	1	9	5	NULL	4	3	NULL	NULL
67	1	2490	NULL	NULL	163	3296	157	78
68	1	9	NULL	NULL	NULL	3	NULL	78
69	1	2490	NULL	NULL	163	3296	157	78
70	1	2490	NULL	NULL	163	3296	157	78
71	1	9	5	NULL	4	3	NULL	NULL
72	1	2490	NULL	NULL	NULL	3	157	78
73	1	2490	NULL	NULL	163	3296	157	78
