id	name	value	note_code_value	node	created_at	updated_at
1	DIVORCED	DIV	SF-M-OTHERS	marital_status	2019-01-08 00:00:00	2019-01-08 00:00:00
2	LIVE IN	L	SF-M-SINGLE	marital_status	2019-01-08 00:00:00	2019-01-08 00:00:00
3	MARRIED	M	SF-M-MARRIED	marital_status	2019-01-08 00:00:00	2019-01-08 00:00:00
4	SINGLE	S	SF-M-SINGLE	marital_status	2019-01-08 00:00:00	2019-01-08 00:00:00
5	WIDOW	WIDOW	SF-M-OTHERS	marital_status	2019-01-08 00:00:00	2019-01-08 00:00:00
6	WIDOWER	WIDOWER	SF-M-OTHERS	marital_status	2019-01-08 00:00:00	2019-01-08 00:00:00
7	DOCTORATE	DOCTRATE	QUALIFICATION - POST-GRADUATE	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
8	ENGINEER	ENG	QUALIFICATION - ENGINEER	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
9	GRADUATE	GRAD	QUALIFICATION - GRADUATE	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
10	MATRIC	MAT	QUALIFICATION - UNDER-GRADUATE	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
11	OTHERS	OTHERS	QUALIFICATION -  OTHERS	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
12	POST-GRADUATE	POSTGRAD	QUALIFICATION - POST-GRADUATE	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
13	PROFESSIONAL	PRF	QUALIFICATION - PROFESSIONAL	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
14	UNDER GRADUATE	UG	QUALIFICATION - UNDER-GRADUATE	education_qualification	2019-01-08 00:00:00	2019-01-08 00:00:00
