id	name	description	code	uniqueCode	isActive	categoryCode	type	hunterCode	createdAt	updatedAt
1	TRANSPORT	TRANSPORT	1	TU_INDUSTRY1	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
2	2 and 3 WHEELERS	2 and 3 WHEELERS	2	TU_INDUSTRY2	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
3	ABRASIVES and GRINDING	ABRASIVES and GRINDING	3	TU_INDUSTRY3	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
4	ALUMINUM and ALUMINUM PRODUCTS - WIRES and FOILS	ALUMINUM and ALUMINUM PRODUCTS - WIRES and FOILS	4	TU_INDUSTRY4	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
5	ARCHITECT FIRMS	ARCHITECT FIRMS	5	TU_INDUSTRY5	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
6	ALUMINUM and ALUMINUM PRODUCTS - EXTRUDED PRODUCTS	ALUMINUM and ALUMINUM PRODUCTS - EXTRUDED PRODUCTS	6	TU_INDUSTRY6	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
7	AUTO ANCILLARIES -GENERAL	AUTO ANCILLARIES -GENERAL	7	TU_INDUSTRY7	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
8	AUTO ANCILLARIES -RUBBER	AUTO ANCILLARIES -RUBBER	8	TU_INDUSTRY8	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
9	AUTO ANCILLARIES -AXIES	AUTO ANCILLARIES -AXIES	9	TU_INDUSTRY9	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
10	AUTO ANCILLARIES -LIGHTING	AUTO ANCILLARIES -LIGHTING	10	TU_INDUSTRY10	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
11	AUTO ANCILLARIES -CLUTCHES, GEARS and BRAKES	AUTO ANCILLARIES -CLUTCHES, GEARS and BRAKES	11	TU_INDUSTRY11	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
12	BAKERY SWEETS - WITH OWN RETAIL SHOP	BAKERY SWEETS - WITH OWN RETAIL SHOP	12	TU_INDUSTRY12	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
13	BAKERY SWEETS - WITH RENTED RETAIL SHOP	BAKERY SWEETS - WITH RENTED RETAIL SHOP	13	TU_INDUSTRY13	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
14	BAKERY SWEETS - NO RETAIL SHOP	BAKERY SWEETS - NO RETAIL SHOP	14	TU_INDUSTRY14	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
15	BEARINGS	BEARINGS	15	TU_INDUSTRY15	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
16	BATHROOM FITTINGS- UNBRANDED	BATHROOM FITTINGS- UNBRANDED	16	TU_INDUSTRY16	0	NULL	TU_INDUSTRY	NULL	NULL	NULL
