id	is_active	created_at	updated_at	city	state	zone
1	1	NULL	NULL	PANIPAT FSB	HARYANA	NORTH
2	1	NULL	NULL	PUNE	Maharashtra	WEST
3	1	NULL	NULL	KOLAPHUR	MAHARASHTRA	WEST
4	1	NULL	NULL	KOLHAPUR	Maharashtra	WEST
5	1	NULL	NULL	NASIK	MAHARASHTRA	WEST
6	1	NULL	NULL	NASIK	ROM	WEST
7	1	NULL	NULL	MUMBAI	Maharashtra	WEST
8	1	NULL	NULL	RAIPUR	Uttaranchal	WEST
9	1	NULL	NULL	NAGPUR	Maharashtra	WEST
10	1	NULL	NULL	AHMEDABAD	Gujarat	WEST
11	1	NULL	NULL	BARODA	GUJARAT	WEST
12	1	NULL	NULL	ANAND	Gujarat	WEST
13	1	NULL	NULL	BHARUCH	Gujarat	WEST
14	1	NULL	NULL	SURAT	Gujarat	WEST
15	1	NULL	NULL	JAMNAGAR	Gujarat	WEST
16	1	NULL	NULL	BHAVNAGAR	Gujarat	WEST
17	1	NULL	NULL	MEHSANA	Gujarat	WEST
18	1	NULL	NULL	HIMMATNAGAR	Gujarat	WEST
19	1	NULL	NULL	BHOPAL	Madhya Pradesh	WEST
20	1	NULL	NULL	INDORE	Madhya Pradesh	WEST
21	1	NULL	NULL	KOLKATA	West Bengal	EAST
22	1	NULL	NULL	CUTTACK	Orissa	EAST
23	1	NULL	NULL	GUWAHATI	Assam	EAST
24	1	NULL	NULL	KHARAGPUR	West Bengal	EAST
25	1	NULL	NULL	JAMSHEDPUR	Jharkhand	EAST
26	1	NULL	NULL	BHUBANESHWAR	ORISSA	EAST
27	1	NULL	NULL	SILIGURI	West Bengal	EAST
28	1	NULL	NULL	RANCHI	Jharkhand	EAST
29	1	NULL	NULL	DURGAPUR WB	WEST BENGAL	EAST
30	1	NULL	NULL	ASANSOL	West Bengal	EAST
31	1	NULL	NULL	ROURKELA	Odisha	EAST
32	1	NULL	NULL	BANGALORE	Karnataka	SOUTH
33	1	NULL	NULL	MYSORE	Karnataka	SOUTH
34	1	NULL	NULL	HUBLI	KARNATAKA	SOUTH
35	1	NULL	NULL	DELHI	DELHI	NORTH
36	1	NULL	NULL	GURGAON	Haryana	NORTH
37	1	NULL	NULL	Delhi	DELHI	NORTH
38	1	NULL	NULL	FARIDABAD	Haryana	NORTH
39	1	NULL	NULL	NOIDA	Uttar Pradesh	NORTH
40	1	NULL	NULL	GHAZIABAD	Uttar Pradesh	NORTH
41	1	NULL	NULL	KOTA	Chhattisgarh	NORTH
42	1	NULL	NULL	JODHPUR	Gujarat	NORTH
43	1	NULL	NULL	BIKANER	Rajasthan	NORTH
44	1	NULL	NULL	UDAIPUR	RAJASTHAN	NORTH
45	1	NULL	NULL	JAIPUR	Rajasthan	NORTH
46	1	NULL	NULL	AJMER	Rajasthan	NORTH
47	1	NULL	NULL	AGRA	Uttar Pradesh	NORTH
48	1	NULL	NULL	DEHRADUN	UTTRAKHAND	NORTH
49	1	NULL	NULL	DEHRADUN	UTTARAKHAND	NORTH
50	1	NULL	NULL	KANPUR	Uttar Pradesh	NORTH
