id	name	type	product_map_id	value	file_path	data_desc	created_at	updated_at	role_permission	file_ver	tenure_category_id	master_file_ver	lang_code
109	org	ORGTYPE	0	Central Govt.	NULL	EN	2018-05-08 01:34:37	2018-05-08 01:34:37	0	50	0	NULL	NULL
110	org	ORGTYPE	0	Educational Institute	NULL	EN	2018-05-08 01:34:54	2018-05-08 01:34:54	0	51	0	NULL	NULL
114	org	ORGTYPE	0	Partnership Firm	NULL	EN	2018-05-08 01:36:15	2018-05-08 01:36:15	0	55	0	NULL	NULL
115	org	ORGTYPE	0	Private Limited Company	NULL	EN	2018-05-08 01:36:33	2018-05-08 01:36:33	0	56	0	NULL	NULL
116	org	ORGTYPE	0	Public Limited Company	NULL	EN	2018-05-08 01:36:53	2018-05-08 01:36:53	0	57	0	NULL	NULL
119	org	ORGTYPE	0	Proprietorship Firm	NULL	EN	2018-05-08 01:37:51	2018-05-08 01:37:51	0	60	0	NULL	NULL
120	org	ORGTYPE	0	Public Sector Undertaking.	NULL	EN	2018-05-08 01:38:08	2018-05-08 01:38:08	0	61	0	NULL	NULL
121	org	ORGTYPE	0	Society	NULL	EN	2018-05-08 01:38:23	2018-05-08 01:38:23	0	62	0	NULL	NULL
122	org	ORGTYPE	0	State Govt.	NULL	EN	2018-05-08 01:38:36	2018-05-08 01:38:36	0	63	0	NULL	NULL
123	org	ORGTYPE	0	Trust	NULL	EN	2018-05-08 01:38:48	2018-05-08 01:38:48	0	64	0	NULL	NULL
