id	name	value	node	created_at	updated_at
1	Unsecured Loans	Unsecured Loans	product_group	2018-12-27 00:00:00	2018-12-27 00:00:00
2	Secured Loans	Secured Loans	product_group	2018-12-27 00:00:00	2018-12-27 00:00:00
3	BUSINESS LOAN	BIL	product	2018-12-27 00:00:00	2018-12-27 00:00:00
4	LOAN AGAINST PROPERTY	LAP	product	2018-12-27 00:00:00	2018-12-27 00:00:00
5	BIL - CROSS COLLATERALIZED	316	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
6	BIL - DOCTORS	278	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
7	BIL - INDIFI	309	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
8	BIL - MICRO BUSINESS LOAN	313	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
9	BIL - OD/CC SURROGATE PROGRAM	315	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
10	BIL - OYO	322	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
11	BIL CARD SURROGATE	287	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
12	BIL CROSS SELL - LAP	284	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
13	BIL FACILITY BASIS AVRG BANKING	297	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
14	BIL PRE APPROVED TOP UP	295	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
15	BIL REPAYMENT TRACK RECORD	302	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
16	BIL-NAVCHETNA/VEDIKA/SATIN/CHETNA	321	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
17	BIL-SELF EMPLOYED EXCLUDING DOCTOR	277	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
18	BUSINESS LOAN	324	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
19	MBL ALLIANCES UNSECURED	326	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
20	MBL UNSECURED	325	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
21	PL - SELF EMPLOYED	276	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
22	PL CREDIT CARD SURROGATE	292	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
23	PL CROSS SELL - LAP	285	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
24	PL ON LOAN SURROGATE	291	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
25	PL SCORECARD	299	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
26	PL-PL TOPUP	319	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
27	PL-SALARIED	275	scheme_group	2027-12-18 00:00:00	2027-12-18 00:00:00
28	PRAGATI MBL-PLUS	6329	scheme	2018-12-27 00:00:00	2018-12-27 00:00:00
29	PRAGATI MICRO BUSINESS LOAN - SECURED	5509	scheme	2018-12-27 00:00:00	2018-12-27 00:00:00
30	PRAGATI MBL–UPTO 5 LACS REGISTERED GPA DELHI	5307	scheme	2018-12-27 00:00:00	2018-12-27 00:00:00
31	BIL-MICRO BUSINESS LOANS	4245	scheme	2018-12-27 00:00:00	2018-12-27 00:00:00
32	BIL-MBL INSTA LOAN	8058	scheme	2018-12-27 00:00:00	2018-12-27 00:00:00
33	SEPL	19	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
34	MBL	18	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
35	AHF	16	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
36	SUVIDHA	13	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
37	LAP BY SUVIDHA TEAM	14	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
38	SUVIDHA BY LAP TEAM	15	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
39	LAP	17	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
40	CROSS SELL	10	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
41	GOLD LOAN BRANCHES	8	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
42	TW SPECIAL PROGRAMS	11	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
43	SCHEME	12	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
44	FIELD SERVICE OFFICER	7	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
45	CONNECTOR	6	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
46	BRANCH REFERRAL	1	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
47	CORPORATE	2	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
48	DEALER	3	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
49	AFFILIATES	4	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
50	BROKER	0	referral_group	2027-12-18 00:00:00	2027-12-18 00:00:00
51	PURCHASE OF VACANT PLOT	1	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
52	Business Expansion	7	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
53	Meet the working capital requirement	8	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
54	Closure of previous loan due to high rate of Interest	9	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
55	Purchase of property	12	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
56	Personal need like marriage in family, higher education etc	11	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
57	Purchase of residential property for self use	2	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
58	Purchase of residential property for investment purpose	3	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
59	Purchase of property for self use	4	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
60	RENOVATION / HOUSE IMPROVMENT	5	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
61	Purchase of property for investment	6	loan_purpose	2027-12-18 00:00:00	2027-12-18 00:00:00
