id	branch	branch_code	location_code	node	created_at	updated_at
1	Delhi	5	L5	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
2	Bhopal	21	L21	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
3	Indore	22	L22	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
4	Jaipur	8	L8	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
5	Ambattur	281	L281	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
6	Jodhpur	23	L23	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
7	Kalyan	587	L587	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
8	Bangalore	2	L2	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
9	Perambur	681	L681	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
10	Madurai	14	L14	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
11	Pune	10	L10	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
12	Mysore	35	L35	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
13	Belgaum	96	L96	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
14	Ghaziabad	52	L52	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
15	Karnal	31	L31	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
16	Lucknow	24	L24	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
17	Kolkata	37	L37	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
18	Nagpur	18	L18	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
19	Vijayanagara	676	L676	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
20	Poonamallee	593	L593	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
21	Jalandhar	28	L28	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
