documentType	uploadStatus	last_uploaded_at	number_of_attempts	response_error
CKYC PHOTO	0	2019-01-14 15:00:19	1	{"ProcessedId":"1449832","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:29	1	{"ProcessedId":"1449849","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:30	1	{"ProcessedId":"1449852","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:32	1	{"ProcessedId":"1449855","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
CKYC PHOTO	0	2019-01-14 15:00:33	1	{"ProcessedId":"1449858","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:34	1	{"ProcessedId":"1449861","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:36	1	{"ProcessedId":"1449864","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:37	1	{"ProcessedId":"1449867","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:39	1	{"ProcessedId":"1449869","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:00:40	1	{"ProcessedId":"1449872","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
